"label","F4_130C_6.1.4_HFHS.Chow.DMBA","F4_131N_6.2.5_HFHS.Chow.DMBA","F5_131N_6.2.2_HFHS.Chow.DMBA","F6_130C_6.1.2_HFHS.Chow.DMBA","F6_131N_6.2.4_HFHS.Chow.DMBA","F4_129N_4.2.5_Lean.DMBA","F5_129N_4.1.3_Lean.DMBA","F5_129C_4.2.1_Lean.DMBA","F6_129N_4.1.5_Lean.DMBA","F6_129C_4.2.3_Lean.DMBA"
"P24549","3.459108","3.415047","3.505129","3.573517","3.573517","3.573517","3.505129","3.617942","3.617942","3.617942"
"Q71LX8","3.279407","3.216105","3.358784","3.487622","3.617942","3.471554","3.229712","3.536429","3.487622","3.660248"
"Q3UAF6","3.415047","3.263496","3.382194","3.660248","3.708283","3.536429","3.536429","3.933540","3.444666","3.708283"
"Q6P2K2","1.613597","1.655469","1.778920","1.975162","1.835065","1.732190","2.036164","1.986738","1.853302","1.916211"
"Q542V3","2.422195","2.291134","2.011910","2.082782","2.076098","2.352665","1.968506","2.029734","2.062402","2.033933"
"H3BKG0","1.542042","1.557283","2.051692","2.313196","2.287709","1.425463","2.064456","2.179612","2.222051","2.187207"
"Q91XT3","1.735981","1.750669","2.015599","1.682355","1.825766","1.613597","1.762219","1.720351","1.640441","1.842571"
"Q5FW97","3.112885","2.877427","2.987444","3.536429","3.347017","3.331334","3.573517","3.389770","3.263496","3.372746"
"A8DUK7","3.933540","3.389770","3.429124","3.933540","3.933540","3.660248","3.708283","3.573517","4.164619","3.933540"
"Q3UKR1","2.074703","2.042627","2.140560","2.157719","1.794832","1.885078","2.391440","2.069069","1.635643","1.716424"
"F8WID5","3.708283","3.708283","3.933540","3.617942","3.505129","3.401547","3.933540","3.708283","3.401547","3.429124"
"Q8CD23","3.573517","3.471554","3.573517","3.291027","3.273499","3.291027","3.273499","3.229712","3.237304","3.237304"
"P16546","2.560211","2.614923","2.781132","2.754083","2.775868","2.537965","2.713246","2.737122","2.781132","2.781132"
"Q923D2","1.566339","1.628219","1.705977","2.018092","2.053284","1.585387","1.771132","1.800699","2.033933","2.094035"
"E9Q0B5","2.305917","2.658106","2.726438","1.871708","2.243122","2.812205","2.505755","2.660240","2.298721","2.160929"
"Q8VDD5","1.798452","1.747729","2.316558","2.398413","2.378703","1.836786","2.356685","2.478756","2.344349","2.429744"
"P10126","3.203442","2.977558","3.093808","3.347017","3.382194","3.382194","3.027202","3.382194","3.112885","3.382194"
"Q99J77","1.689502","1.794832","1.249666","1.855547","1.812730","1.842571","1.279203","1.068645","1.857047","1.853302"
"O88569","3.331334","3.086645","3.049864","3.317270","3.263496","3.203442","3.112885","3.191976","3.166633","3.216105"
"P09411","2.981724","3.027202","3.057298","2.947350","2.942525","2.894581","3.177511","3.093808","2.882924","2.921782"
"Q564F6","1.4964859","1.8811325","1.7343787","0.6996800","0.4772419","1.6764247","1.6211258","1.5663393","1.0099380","0.9367585"
"Q3U7Z6","3.086645","3.022504","3.086645","2.846845","2.933274","2.919116","2.959083","2.837618","2.933274","2.834606"
"A6BLY7","1.632865","1.885078","1.513660","1.698359","1.771132","2.147058","1.313704","1.695030","2.018092","1.702542"
"Q9QWL7","2.703968","2.947350","2.668542","2.143921","2.587403","3.191976","2.490258","2.577692","2.540373","2.406271"
"P26645","2.380645","2.567468","2.582671","2.451533","2.462027","2.305917","2.524240","2.487378","2.391440","2.341319"
"A0A0G2JGD2"," 1.396432"," 1.230937"," 1.307524"," 1.759640"," 1.698359"," 1.345381"," 1.570569"," 1.774300","-3.276860"," 1.479418"
"P20108","3.099427","2.962667","2.992275","2.921782","3.022504","2.933274","2.809260","2.809260","3.060164","2.894581"
"P18760","3.093808","3.049864","3.044145","3.060164","3.011436","2.970410","3.157498","3.022504","2.863497","2.919116"
"Q3TF14","2.740946","2.585000","2.532859","3.000877","2.831591","2.794747","2.740946","2.751537","2.870601","2.905756"
"P35700","3.197219","3.000877","3.229712","3.305929","3.325743","3.244630","3.134514","3.249334","3.229712","3.191976"
"A0A0R4J0G5","1.695030","2.204480","2.000271","2.044236","2.111266","2.102996","2.216368","2.247812","2.238009","2.152559"
"P04104","2.791023","3.487622","3.311120","2.909582","3.027202","3.487622","3.279407","3.429124","3.389770","3.244630"
"P26041","2.781132","2.710518","2.701125","2.886219","2.698324","2.857667","2.826695","2.901648","2.726438","2.761272"
"E9PZF0","3.291027","3.191976","3.263496","3.166633","3.177511","3.103754","3.118128","3.060164","3.065572","3.177511"
"Q8BMS1","2.102996","2.061229","2.241418","2.178243","2.293634","2.274630","2.173233","2.434679","2.305917","2.374236"
"Q64475","3.401547","3.406343","3.372746","3.311120","3.197219","3.298835","3.203442","3.325743","3.338179","3.311120"
"E9Q1Z0","2.504842","3.253783","3.338179","2.602091","2.992275","3.166633","3.325743","3.222996","3.536429","3.279407"
"P28474","2.857667","2.723926","2.826695","2.914675","2.842922","2.701125","2.857667","2.701125","2.826695","2.801961"
"Q80T06","2.442506","2.511198","2.427363","2.295809","2.328121","2.455745","2.400810","2.319333","2.313196","2.344349"
"P51859","2.962667","2.863497","2.914675","2.863497","2.882924","2.764238","2.894581","2.764238","2.849917","2.809260"
"Q8BHN3","2.614923","2.648044","2.567468","2.403746","2.411518","2.645467","2.652955","2.596856","2.449394","2.411518"
"Q3UK83","2.967958","2.794747","2.660240","2.809260","2.877427","2.863497","2.701125","2.757966","2.737122","2.791023"
"Q99LC5","2.556194","2.504842","2.471164","2.730060","2.740946","2.577692","2.605207","2.628748","2.599876","2.641442"
"Q3TCL2","2.668542","2.429744","2.658106","2.751537","2.628748","2.927107","2.791023","2.914675","2.686737","2.812205"
"Q9Z1R9","2.863497","2.938485","2.942525","2.812205","2.886219","3.086645","3.317270","3.071116","3.018138","3.049864"
"P08228","3.222996","3.125750","3.134514","3.080506","3.103754","2.962667","3.018138","2.992275","3.093808","2.933274"
"Q60864","2.514973","2.560211","2.713246","2.475647","2.442506","2.449394","2.665259","2.662967","2.532859","2.451533"
"Q9DCW4","2.595177","2.473944","2.445636","2.665259","2.686737","2.567468","2.478756","2.504842","2.567468","2.560211"
"Q9Z2U1","2.313196","2.328910","2.524240","2.029734","2.175914","2.127868","2.412847","2.278396","2.114383","2.117656"
"Q9R0P5","2.371338","2.195823","2.328121","2.769555","2.649759","2.406271","2.596856","2.668542","2.442506","2.569786"
"P47911","2.886219","2.787634","2.718924","2.747131","2.812205","2.801961","2.673192","2.791023","2.842922","2.846845"
"P14148","2.660240","2.593045","2.422195","2.710518","2.723926","2.652955","2.424770","2.553678","2.801961","2.737122"
"Q80U89","1.679669","1.659191","1.789069","2.069069","2.029734","1.695030","1.871708","2.011910","2.082782","2.173233"
"Q9CQ60","2.129407","2.131254","1.889037","1.902464","1.984304","2.181332","1.914227","1.945142","1.909457","1.989539"
"P59999","2.024140","2.214959","2.437855","1.689502","1.676425","1.952372","2.287709","2.387798","1.557283","1.610277"
"A0A0A0MQM0","2.400810","2.595177","2.632115","2.493277","2.532859","2.422195","2.624726","2.495282","2.556194","2.509571"
"Q9CWJ9","1.649464","1.575425","1.616279","1.977833","1.893313","1.850864","1.689502","1.649464","1.887162","2.055074"
"B9EI85","2.905756","2.846845","2.877427","2.837618","2.757966","2.726438","2.618304","2.665259","2.698324","2.794747"
"Q99PT1","2.307253","2.181332","2.163535","2.414389","2.422195","2.396325","2.148452","2.364511","2.316558","2.484622"
"Q66JR7","2.044236","1.975162","2.059256","2.147058","2.071485","1.780936","2.152559","2.055074","2.057298","2.036164"
"B2RSV4","1.906009","1.780936","1.728491","2.181332","2.195823","1.897904","1.600342","1.738990","2.152559","2.212114"
"A0A1W2P729","2.150438","2.140560","2.112813","2.007202","1.972586","2.076098","2.190622","1.970161","2.014039","1.939188"
"Q549A5","2.114383","2.178243","2.123061","1.894995","1.919954","2.064456","2.042627","2.031515","1.885078","1.904335"
"P54071","2.227584","2.246425","2.212114","1.725208","1.645215","2.269031","2.179612","2.291134","1.628219","1.804224"
"P32067","2.364511","2.344349","2.378703","2.473944","2.414389","2.298721","2.380645","2.356685","2.367102","2.367102"
"Q3UYH9","1.759640","1.700124","1.956319","2.050130","1.947622","1.853302","2.238009","2.123061","1.975162","2.003119"
"Q3UJ44","1.800699","1.806692","1.771132","2.101402","1.986738","1.943026","1.954789","1.879245","1.937399","2.071485"
"Q3UJP4","1.967193","1.879245","2.251655","2.148452","2.241418","2.039375","2.178243","2.331570","2.117656","2.210214"
"G5E850","2.303390","2.243122","2.282812","2.254475","2.371338","2.246425","2.132667","2.204480","2.490258","2.261754"
"O55234","2.278396","2.321018","2.481739","2.437855","2.521878","2.210214","2.376451","2.403746","2.420923","2.468857"
"Q3TQW3","1.930454","1.792423","1.230937","1.822646","1.914227","2.009318","1.154595","1.557283","1.753490","1.930454"
"Q61425","2.487378","2.391440","2.350891","2.686737","2.602091","2.781132","2.498236","2.691262","2.764238","2.713246"
"A0A1B0GX27","2.069069","1.956319","2.079234","1.585387","1.632865","2.090349","1.996133","1.950430","1.585387","1.632865"
"Q91WT7","1.794832","1.621126","1.679669","1.570569","1.529692","1.899810","1.800699","1.822646","1.780936","1.659191"
"Q0PD67","1.881132","1.707894","1.950430","2.123061","2.178243","1.930454","1.980503","2.132667","2.099309","2.207788"
"Q8K4Z3","2.036164","1.977833","1.977833","2.085350","2.099309","1.965837","2.007202","1.808821","2.044236","2.026515"
"O09131","2.163535","2.071485","2.227584","2.757966","2.326336","2.024140","2.769555","2.238009","2.307253","2.282812"
"Q3U538","2.155628","2.323449","1.996133","1.542042","1.513660","2.424770","2.182937","3.011436","1.800699","1.557283"
"D6REG4","1.910968","1.853302","1.676425","1.930454","2.014039","2.091907","1.753490","1.902464","1.952372","2.150438"
"A5GZX3","2.412847","2.125344","1.937399","2.042627","1.941257","2.178243","2.033933","1.861543","1.874752","1.954789"
"P23953","1.535136","1.313704","1.741220","1.529692","1.379030","1.496486","1.853302","1.628219","1.068645","1.154595"
"Q642K1","2.160929","2.033933","2.064456","1.941257","2.047645","2.123061","1.986738","2.102996","2.145391","2.101402"
"E9Q715","1.932091","2.105826","1.928824","2.241418","2.018092","2.031515","1.774300","1.864947","1.994040","2.157719"
"A0A1D5RME4","2.088746","2.090349","1.769527","2.207788","2.249435","2.099309","1.649464","1.842571","2.385489","2.270318"
"Q9EQ20","1.753490","1.789069","1.850864","2.099309","2.145391","1.907676","1.894995","2.138195","2.111266","2.185461"
"Q6ZWM4","1.307524","1.570569","1.930454","1.448157","1.488254","1.154595","1.902464","1.845452","1.651665","1.416779"
"Q99LD8","1.8792447","1.9391880","0.6996800","1.8350646","1.8066921","1.8399037","0.8287724","0.4772419","1.8284623","1.8367861"
"Q9CQM9","1.828462","1.725208","1.907676","1.897904","2.031515","1.828462","1.891017","1.812730","1.845452","1.937399"
"E9PV24","1.968506","1.968506","1.557283","1.984304","1.932091","2.042627","1.628219","1.785719","2.088746","2.029734"
"Q9DB77","1.817889","1.907676","1.893313","1.956319","2.057298","1.859577","1.750669","1.941257","2.047645","2.009318"
"Q3UIH5","1.0099380","0.6996800","1.6282193","0.8901510","0.6557923","1.0099380","1.5136601","1.6631630","0.4772419","0.6996800"
"P12787","2.665259","2.521878","2.747131","2.190622","2.222051","2.224281","2.411518","2.449394","2.201052","2.050130"
"D3YXK2","1.869079","1.902464","1.803422","1.396432","1.329894","1.845452","1.812730","1.792423","1.359439","1.313704"
"P01872","1.982410","2.157719","2.216368","2.094035","1.659191","1.928824","2.420923","2.042627","1.552606","1.464762"
"P62869","1.996133","1.998570","2.152559","2.261754","2.289628","2.079234","2.162284","2.155628","2.263575","2.285272"
"D3Z712","1.686579","1.488254","1.448157","2.014039","2.062402","1.624987","1.217062","1.291063","1.991629","2.007202"
"Q80Y14","1.778920","1.804224","1.879245","1.836786","1.848386","1.557283","1.663163","1.769527","1.899810","1.822646"
"Q790Y8","1.651665","1.509255","1.822646","1.884247","1.887162","1.820373","1.859577","1.959032","1.765216","1.962575"
"Q3UF30","2.195823","2.227584","2.326336","2.406271","2.246425","2.051692","2.291134","2.243122","2.064456","2.196995"
"Q91YR9","1.509255","1.519884","1.923988","2.055074","1.950430","1.542042","1.780936","1.707894","1.989539","1.984304"
"P62317","1.850864","1.835065","2.160929","1.808821","1.728491","1.716424","2.079234","1.972586","1.776333","1.803422"
