"Mean Sequence Quality (Phred Score)","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54"
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0
16,7,3,0,1,2,0,7,2,1,0,0,0,2,3,0,0,0,1,2,2,4,3,1,2,3,0,1,1,2,1,0,1,1,0,1,4,3,2,1,2,2,2,1,1,2,2,3,2,0,1,0,4,4,5
17,6,11,7,7,9,4,28,3,5,7,9,4,10,2,2,4,5,6,1,5,3,5,12,7,6,1,3,9,4,5,0,4,3,5,3,7,7,3,2,5,2,3,14,4,6,5,0,9,2,4,2,5,3,3
18,35,22,25,16,25,16,104,15,15,7,21,21,25,18,10,22,13,8,23,21,25,22,30,19,20,12,12,33,20,36,7,16,17,20,26,29,33,12,7,20,19,20,31,13,12,7,11,19,5,5,5,11,14,15
19,178,113,109,97,98,41,694,71,78,73,80,102,115,49,70,70,55,69,146,78,122,86,113,84,87,68,69,117,99,171,36,89,78,108,105,148,213,81,58,109,76,89,187,92,78,63,52,96,62,60,35,77,80,60
20,1290,755,543,570,669,349,5184,450,517,430,459,714,665,274,442,355,255,365,905,447,889,509,709,456,586,290,336,714,551,809,189,465,586,765,717,996,1424,643,358,763,483,480,1100,563,409,441,239,601,258,293,196,348,603,428
21,7597,4271,3177,3022,3821,1672,27036,2689,3029,2860,2300,3293,4329,1206,2456,1742,1299,2115,5170,2469,5710,2938,4217,2372,3450,1491,2053,3563,2938,4328,890,2272,3584,4080,4149,5494,8336,4301,2227,3617,2338,2761,6341,2962,1844,2348,1353,2997,1398,1546,1000,2029,3000,2304
22,25217,13650,11007,9442,10996,5082,83749,8631,9847,9663,8076,10319,14140,4440,7050,6735,4177,7175,16050,9735,17409,10975,12458,8125,11277,5294,7354,12626,9387,17083,3249,7133,11518,13505,12770,16812,22987,17167,7047,10586,9282,9125,21409,10180,7124,7822,4523,10257,4726,5532,3306,7105,9179,8601
23,49108,25924,23904,18025,21644,10555,165245,18013,20139,20238,17618,21576,29565,10762,13107,16631,9166,15902,29563,25710,32422,22193,24361,17565,23753,14571,15480,29977,20339,42775,9381,14569,22048,25897,24688,29861,40237,33656,14455,19521,23170,21237,45626,21055,18555,15612,9826,23506,11774,14215,7521,16274,18021,18081
24,77346,42628,41050,28799,36267,17774,258620,32159,36328,36273,29678,34054,52326,19492,20044,31102,16128,30182,44563,50002,51032,35181,41066,29141,40706,29751,26110,56524,35676,83957,19188,22682,35241,39734,39998,44535,61319,49069,24178,32639,42405,40316,81769,33980,34713,24816,16320,41983,23504,25589,13609,28329,28125,29364
25,117985,65168,64772,44645,56143,28153,388178,52888,58107,56585,46187,52354,82892,30938,30044,51779,25538,48757,65411,83724,76211,53749,64441,44743,64496,51112,41504,93005,55465,136925,33063,34857,53784,59606,59997,64665,90137,68029,36877,50143,69045,67599,130885,52079,57350,37628,25427,66473,39497,41437,21976,45504,43049,43298
26,155845,84583,82842,59005,74010,38368,508185,70177,74452,72887,61699,70600,107506,43589,40122,68779,34255,63020,84115,106018,97247,70550,85340,59128,84068,65729,54472,118773,72116,171039,41697,47613,70516,80232,78845,83745,117833,79501,47958,65629,92910,88408,165537,69325,75785,49849,34334,83965,50283,54205,28923,58605,56497,55566
27,205331,105795,96112,77648,93426,50115,651078,84859,88253,87047,80309,94248,127944,58754,53068,81517,45339,72330,108174,109839,118104,89816,108296,76995,100878,70789,67648,129427,87558,176870,40490,65399,90993,105546,99958,109945,151044,88524,60567,81453,118043,98977,183876,88377,90919,65558,44824,96355,55389,65432,36384,72883,73554,69704
28,260239,126570,103970,97238,112092,64159,801988,97809,99272,98952,102737,120099,146820,77238,67726,91830,59174,79133,135049,101126,139792,110705,132170,96926,115144,69194,79921,131583,103780,162155,32639,87510,114347,135348,120870,140017,187032,93666,72882,98482,144285,101619,189137,111174,103360,83262,57872,104719,57094,76105,44050,88184,92237,86069
29,345188,163207,126308,132321,147346,88975,1036824,128101,125134,126266,142171,163830,187556,110222,93277,118089,82358,101048,180485,108431,182046,147463,175827,133480,149803,80314,104746,154330,135834,173623,30272,125437,155078,187093,159969,188303,248327,107458,96001,129091,194739,120513,223930,152472,133765,114117,80223,130870,68062,99099,60108,118052,124887,114995
30,436368,210188,155495,172882,192603,120319,1255338,168141,159985,162168,187007,240723,241339,149371,121044,150871,110068,130127,230271,137577,231507,192648,230748,176294,189169,102325,134872,190624,174476,204155,33492,168160,203310,246477,208648,241714,313693,119736,124186,179173,253609,150559,286222,198477,175700,149992,105953,166206,85889,127623,79873,153696,167442,147978
31,556409,338613,222765,231721,257566,165469,1572805,229261,213058,216962,252654,371878,322442,204761,165540,201972,150128,176097,303109,218992,305907,255402,309806,236143,253944,137752,181755,256326,239613,270884,47486,227325,272771,330156,277841,318360,418035,138951,166088,273177,331939,200943,458680,265515,234297,201455,143227,219277,116037,170975,110408,207621,274615,195177
32,683006,425797,314603,310962,331923,223354,1961105,298766,272697,288432,325904,340856,411549,263418,235875,267093,195434,225377,393973,209597,384895,326946,400352,306506,342051,178624,240510,350140,335225,397545,55670,293745,351141,423548,354647,400234,598526,153962,215508,272672,414910,257321,441274,346191,297592,271009,194185,286181,150200,220783,143146,265986,279120,247883
33,920159,438744,335960,460310,475718,307193,2473876,424630,397089,418253,457866,448031,572525,371120,303868,394123,275366,312529,605225,271568,526288,456295,569239,450968,495487,246518,341721,425398,410509,470928,65297,423106,494467,604090,489784,555252,774632,209780,307821,365185,555464,358867,566002,512138,422503,410744,276661,427871,209837,323166,202857,366473,345011,356142
34,1225625,594640,436306,586005,672594,400330,2939610,585456,528248,542404,653468,619884,802505,540825,388292,513743,373535,456812,787495,379053,785725,663264,815237,591448,620663,352467,449522,566938,546084,577254,88643,586753,719214,838671,730261,782664,930715,390907,411921,507302,766696,532594,785158,673744,603045,498027,347155,548804,301370,415575,284625,539154,482281,501569
35,1744771,1127991,811504,1014005,1175317,807930,4494633,1074868,945762,982454,1140974,1162332,1307075,976750,743444,919147,717842,857988,1272505,751200,1358721,1146831,1403854,1051200,1120560,697086,851281,1038414,1042264,1036969,162180,1074116,1243143,1389250,1298429,1313411,1577889,380548,754843,965498,1194593,901855,1480153,1159631,993733,888204,670923,941824,581009,755766,564614,959356,927950,850143
36,3986044,4360688,3145879,3656027,4917267,4196109,11534040,3841483,3784955,3851512,4428564,4457991,4062555,3963741,2961929,3772925,3724358,4265493,4715029,3615248,5375830,4150589,5492390,4604290,4249794,3583669,3587620,3866107,4093449,3757050,622304,4830924,4474051,4305595,5822494,4539507,4363356,356383,3235440,3881498,3527563,3735141,5748521,4075578,3751642,3614931,3266036,3862080,3165176,3468634,2907780,3839328,3633695,3744882
37,499770,605208,447777,505708,713417,595604,1392990,546865,507852,540573,609524,602037,539288,569053,395339,555091,545115,623198,652479,546695,744017,575655,817622,670811,617161,554345,504913,558149,562945,531286,89490,658356,574701,542435,882105,595767,552575,37750,458461,544402,490167,577522,782830,533494,568952,480811,450408,563304,449456,510525,393518,566346,479485,540634